"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 09, 2022","480.94","469.63","481.78","469.63","32.78M","3.70%"
"Sep 08, 2022","463.76","449.44","464.94","447.01","31.55M","2.70%"
"Sep 07, 2022","451.56","439.25","453.16","434.99","30.06M","1.26%"
"Sep 06, 2022","445.94","438.13","448.68","436.43","29.89M","2.05%"
"Sep 02, 2022","436.99","442.02","449.12","434.79","28.35M","0.54%"
"Sep 01, 2022","434.66","440.85","440.85","424.61","33.57M","-3.02%"
"Aug 31, 2022","448.19","454.55","456.01","443.76","30.51M","-1.51%"
"Aug 30, 2022","455.06","474.28","474.28","451.43","27.49M","-4.11%"
"Aug 29, 2022","474.57","474.97","482.30","467.08","20.63M","-0.45%"
"Aug 26, 2022","476.70","486.03","492.42","476.48","27.66M","-1.84%"
"Aug 25, 2022","485.66","465.10","485.94","465.10","26.72M","4.93%"
"Aug 24, 2022","462.86","457.63","465.01","451.48","25.25M","0.79%"
"Aug 23, 2022","459.22","452.46","467.76","452.46","23.41M","1.63%"
"Aug 22, 2022","451.87","457.94","458.02","449.50","21.27M","-2.05%"
"Aug 19, 2022","461.32","474.11","474.11","457.22","20.61M","-2.82%"
"Aug 18, 2022","474.71","470.33","477.01","470.33","17.89M","1.13%"
"Aug 17, 2022","469.39","477.19","477.19","468.30","28.91M","-2.46%"
"Aug 16, 2022","481.22","477.08","484.82","477.08","18.48M","1.07%"
"Aug 15, 2022","476.13","479.17","479.17","464.84","21.17M","-1.22%"
"Aug 12, 2022","482.03","476.88","483.91","473.07","18.78M","1.16%"
"Aug 11, 2022","476.49","478.92","491.19","476.01","24.82M","-0.03%"
"Aug 10, 2022","476.61","467.38","478.17","467.38","23.64M","2.36%"
